name,href
Alexis Sanchez,https://www.futwiz.com/en/fifa23/player/alexis-sanchez/21278
Ivan Perisic,https://www.futwiz.com/en/fifa23/player/ivan-perisic/22626
Edinson Cavani,https://www.futwiz.com/en/fifa23/player/edinson-cavani/22531
Javier Hernandez,https://www.futwiz.com/en/fifa23/player/javier-hernandez/22644
Manuel Neuer,https://www.futwiz.com/en/fifa23/player/manuel-neuer/22474
Lionel Messi,https://www.futwiz.com/en/fifa23/player/lionel-messi/17392
Lionel Messi,https://www.futwiz.com/en/fifa23/player/lionel-messi/19208
Kaka,https://www.futwiz.com/en/fifa23/player/kaka/22421
Ronaldo Nazario,https://www.futwiz.com/en/fifa23/player/ronaldo-nazario/1125
Ronaldinho,https://www.futwiz.com/en/fifa23/player/ronaldinho/1401
Steven Gerrard,https://www.futwiz.com/en/fifa23/player/steven-gerrard/21690
Frank Lampard,https://www.futwiz.com/en/fifa23/player/frank-lampard/21691
Michael Owen,https://www.futwiz.com/en/fifa23/player/michael-owen/21686
Gianluca Zambrotta,https://www.futwiz.com/en/fifa23/player/gianluca-zambrotta/22452
Dennis Bergkamp,https://www.futwiz.com/en/fifa23/player/dennis-bergkamp/21640
Zinedine Zidane,https://www.futwiz.com/en/fifa23/player/zinedine-zidane/1124
Paolo Maldini,https://www.futwiz.com/en/fifa23/player/paolo-maldini/1350
Alessandro Nesta,https://www.futwiz.com/en/fifa23/player/alessandro-nesta/19465
David Beckham,https://www.futwiz.com/en/fifa23/player/david-beckham/19441
Jairzinho,https://www.futwiz.com/en/fifa23/player/jairzinho/21495
Gavi,https://www.futwiz.com/en/fifa23/player/gavi/22505
Balde,https://www.futwiz.com/en/fifa23/player/balde/22268
Kiliann Sildillia,https://www.futwiz.com/en/fifa23/player/kiliann-sildillia/22547
Cafu,https://www.futwiz.com/en/fifa23/player/cafu/1116
Taylor Booth,https://www.futwiz.com/en/fifa23/player/taylor-booth/22517
